priority,language,slug,category,current_live_state,required_action,business_reason,release_wave
P0,en,residential-proxy-cost-calculator,Proxy Guides & Benchmark,404,"CMS upsert by slug+language; set Published date <= release date; verify 200/canonical/sitemap","Directly supports GB-based pricing, cost estimation, and purchase conversion",wave-1
P0,en,residential-proxy-speed-test,Proxy Guides & Benchmark,404,"CMS upsert by slug+language; verify benchmark claims and publish","Provides performance proof for buyers evaluating latency, success rate, geo accuracy, and retry cost",wave-1
P0,en,what-is-residential-proxy,Proxy Guides & Benchmark,404,"CMS upsert by slug+language; publish as pillar page","Core residential-proxy informational intent and internal-link authority",wave-1
P0,en,rotating-vs-sticky-residential-proxies,Proxy Guides & Benchmark,404,"CMS upsert by slug+language; publish","Maps directly to BytesFlows rotating/sticky credentials and buyer session decisions",wave-1
P0,en,proxies-for-rank-tracking,SEO Monitoring,404,"CMS upsert by slug+language; publish","High-intent SEO monitoring use case aligned with Rank Tracking solution",wave-1
P0,en,local-rank-tracking-proxies,SEO Monitoring,404,"CMS upsert by slug+language; publish","Supports city-level targeting and localized SERP accuracy positioning",wave-1
P0,en,isp-vs-residential-proxies-for-rank-tracking,SEO Monitoring,404,"CMS upsert by slug+language; publish","Commercial comparison content for rank-tracking route selection",wave-1
P0,en,serp-scraping-proxy-setup,Proxy Guides & Benchmark,404,"CMS upsert by slug+language; publish","Connects SERP scraping solution pages to engineering QA and data-quality guidance",wave-1
P0,en,playwright-residential-proxy-guide,Web Scraping & Engineering,404,"CMS upsert by slug+language; publish","High-intent browser automation content tied to sticky sessions and Playwright use cases",wave-1
P0,en,python-proxy-scraping-guide,Web Scraping & Engineering,404,"CMS upsert by slug+language; publish","Developer acquisition across Requests, httpx, and Playwright integrations",wave-1
P1,en,ai-browser-agents-playwright,AI Agents & Automation,404,"CMS upsert by slug+language; publish after wave-1","Supports AI agent positioning but is less directly commercial than proxy buyer guides",wave-2
P1,en,ai-data-collection-web,AI Agents & Automation,404,"CMS upsert by slug+language; publish after wave-1","Supports RAG and AI data collection solution demand",wave-2
P1,en,ai-dynamic-proxy-technical-implementation,AI Agents & Automation,404,"CMS upsert by slug+language; publish after wave-1","Technical implementation asset for AI ingestion pipelines",wave-2
P1,en,openclaw-proxy-setup,AI Agents & Automation,404,"CMS upsert by slug+language; publish after wave-1","Captures emerging OpenClaw integration interest and routes users to proxy testing",wave-2
P1,en,proxy-rotation-strategy,Web Scraping & Engineering,404,"CMS upsert by slug+language; publish after wave-1","Operational guide supporting rotation and sticky-session product behavior",wave-2
P1,en,socks5-residential-proxies-guide,Proxy Guides & Benchmark,404,"CMS upsert by slug+language; publish after wave-1","Supports SOCKS5 differentiation and technical troubleshooting",wave-2
P1,en,scraping-social-media-data,AI Agents & Automation,404,"CMS upsert by slug+language; compliance review before publish","Supports social-media monitoring demand but requires careful compliance framing",wave-2
P1,en,scrapling-openclaw-linkedin-agents-scale,AI Agents & Automation,404,"CMS upsert by slug+language; compliance and duplication review","Specialized long-tail agent workflow; publish only after core OpenClaw page",wave-2
P2,en,cloudflare-403-proxy-troubleshooting,Web Scraping & Engineering,404,"Do not blindly publish; merge unique material into cloudflare-403-troubleshooting or create an explicit differentiated intent","Current healthy Cloudflare article already targets closely overlapping intent",consolidate
P2,zh,openclaw-local-ollama-setup-part-1,AI Agents & Automation,404,"Hold until Chinese AI cluster and localized commercial path are ready","Low immediate proxy purchase intent and currently lacks a supporting Chinese OpenClaw cluster",hold
ROUTE_FIX,en,openclaw-local-ollama-setup-part-1,AI Agents & Automation,"308 to /ai/openclaw","Do not create duplicate CMS page; website PR removes the conflicting redirect and restores article route","Article exists in source/listing/sitemap but is overridden by application redirect",website-pr
ROUTE_FIX,en,playwright-proxy-errors,AI Agents & Automation,"308 to /ai/troubleshooting","Do not create duplicate CMS page; website PR removes the conflicting redirect and restores article route","Article exists in source/listing/sitemap but is overridden by application redirect",website-pr
ROUTE_FIX,en,playwright-proxy-setup,AI Agents & Automation,"308 to /ai/playwright-agents","Do not create duplicate CMS page; website PR removes the conflicting redirect and restores article route","Article exists in source/listing/sitemap but is overridden by application redirect",website-pr
